Name,Open,High,Low,Close,Volume,Dividends,StockSplits
MRVL,52.29999923706055,53.380001068115234,52.03499984741211,52.29999923706055,8261539.0,0.0,0.0
IDXX,439.989990234375,440.7200012207031,434.44000244140625,435.69000244140625,430664.0,0.0,0.0
JD,30.954999923706055,30.989999771118164,30.354999542236328,30.40999984741211,8356487.0,0.0,0.0
KDP,33.27000045776367,33.4900016784668,33.10499954223633,33.119998931884766,6051027.0,0.0,0.0
KLAC,451.510009765625,458.54998779296875,450.739990234375,451.82000732421875,800825.0,0.0,0.0
KHC,34.310001373291016,34.56999969482422,34.130001068115234,34.15999984741211,9380271.0,0.0,0.0
LRCX,619.969970703125,628.9354858398438,615.5,619.1099853515625,1274115.0,0.0,0.0
LCID,5.25,5.329999923706055,5.070000171661377,5.110000133514404,28321418.0,0.0,0.0
LULU,387.5,391.7099914550781,386.3800048828125,388.04998779296875,1042306.0,0.0,0.0
MELI,1307.0,1317.0,1274.3699951171875,1276.9599609375,272461.0,0.0,0.0
MAR,195.22000122070312,196.91000366210938,194.0,194.36000061035156,1374884.0,0.0,0.0
MCHP,76.61000061035156,77.80999755859375,76.41999816894531,77.08000183105469,3713129.0,0.0,0.0
MDLZ,70.70999908447266,71.05500030517578,70.3499984741211,70.43000030517578,5883565.0,0.0,0.0
MRNA,100.7699966430664,100.9800033569336,98.51499938964844,99.98999786376953,2228659.0,0.0,0.0
MNST,54.70000076293945,54.9900016784668,54.375,54.52000045776367,6904165.0,0.0,0.0
MSFT,321.32000732421875,321.4200134277344,316.1499938964844,317.010009765625,21103284.0,0.0,0.0
MU,68.58999633789062,69.75,67.79000091552734,68.87999725341797,11855894.0,0.0,0.0
NFLX,385.0,386.8800048828125,378.4100036621094,379.80999755859375,3690577.0,0.0,0.0
NVDA,415.7200012207031,421.1499938964844,412.30999755859375,416.1000061035156,47066162.0,0.0,0.0
NXPI,195.5399932861328,198.964599609375,194.50999450683594,196.7899932861328,1482910.0,0.0,0.0
ODFL,400.1300048828125,407.875,399.3900146484375,400.6600036621094,414097.0,0.0,0.0
ORLY,921.1599731445312,941.3499755859375,921.1599731445312,936.02001953125,327481.0,0.0,0.0
PCAR,84.0,85.73999786376953,83.98500061035156,84.93000030517578,1998542.0,0.0,0.0
PANW,228.5500030517578,230.72999572753906,226.63999938964844,228.50999450683594,2218859.0,0.0,0.0
PAYX,112.87999725341797,114.16999816894531,112.87999725341797,112.94999694824219,1231766.0,0.0,0.0
PDD,95.72000122070312,96.37999725341797,94.44000244140625,95.93000030517578,8491544.0,0.0,0.0
PYPL,59.02000045776367,59.189998626708984,57.834999084472656,57.880001068115234,12703140.0,0.0,0.0
PEP,174.94000244140625,176.38999938964844,174.3699951171875,175.27000427246094,4542110.0,0.0,0.0
QCOM,108.7699966430664,109.7780990600586,107.36100006103516,107.68000030517578,5781197.0,0.0,0.0
REGN,822.02001953125,831.5,818.5294799804688,824.8400268554688,310974.0,0.0,0.0
ROST,113.38999938964844,113.4800033569336,111.52999877929688,111.66000366210938,1796641.0,0.0,0.0
SIRI,4.130000114440918,4.170000076293945,4.010000228881836,4.03000020980835,9277851.0,0.0,0.0
SGEN,213.8000030517578,214.0,213.1999969482422,213.6999969482422,3162256.0,0.0,0.0
SBUX,93.43000030517578,94.33499908447266,93.37000274658203,93.68000030517578,5116784.0,0.0,0.0
SNPS,446.2200012207031,454.4700012207031,446.2200012207031,446.8500061035156,577553.0,0.0,0.0
TSLA,257.3999938964844,257.7887878417969,244.47999572753906,244.8800048828125,126311133.0,0.0,0.0
TXN,161.82000732421875,162.05029296875,160.2100067138672,160.30999755859375,3714943.0,0.0,0.0
TMUS,139.30999755859375,140.2899932861328,139.3000030517578,139.35000610351562,3172952.0,0.0,0.0
VRSK,240.92999267578125,244.47999572753906,240.6999969482422,241.9499969482422,512949.0,0.0,0.0
VRTX,351.760009765625,355.25,348.41009521484375,349.5299987792969,912273.0,0.0,0.0
WBA,21.420000076293945,21.579999923706055,21.049999237060547,21.1200008392334,9418693.0,0.0,0.0
WBD,11.510000228881836,11.604999542236328,11.010000228881836,11.100000381469727,22249424.0,0.0,0.0
WDAY,230.7100067138672,232.33999633789062,230.25999450683594,230.82000732421875,1015667.0,0.0,0.0
XEL,59.11000061035156,60.19499969482422,59.01499938964844,59.72999954223633,4762611.0,0.0,0.0
ZM,68.5,69.7300033569336,68.4000015258789,68.8499984741211,2472830.0,0.0,0.0
ZS,149.0399932861328,154.54989624023438,148.1699981689453,151.7100067138672,1641688.0,0.0,0.0
